CCTVID,AuthorityCode,LinkID,VideoStreamURL,LocationType,PositionLon,PositionLat,SurveillanceType,SurveillanceDescription,RoadID,RoadName,RoadClass,RoadDirection,UpdateTime
T006940,KEE,6101660000020C,https://CCTV.KLCG.GOV.TW:443/15c4860f,1,121.71997,25.12837,1,麥金路 樂利三路,610166C,麥金路,6,N,2023/7/28 10:10
T010931,KEE,6100500700000C,https://CCTV.KLCG.GOV.TW:443/cc6b56ab,1,121.76915,25.15341,2,正濱路 正濱路166巷口,610050C,正濱路,6,NW,2023/7/28 10:10
T015730,KEE,6102330300020C,https://CCTV.KLCG.GOV.TW:443/7a0cfa17,1,121.725,25.15,2,德安路 復興路,610233C,德安路,6,SE,2023/7/28 10:10
T202400,KEE,1006201008070C,https://CCTV.KLCG.GOV.TW:443/2509bb1d,1,121.79764,25.11975,2,調和街 深澳坑路,100620,台62線,1,E,2023/7/28 10:10
T202900,KEE,6102370000000C,https://CCTV.KLCG.GOV.TW:443/c78e20a2,1,121.79624,25.1394,2,北寧路 調和街,610237C,調和街,6,N,2023/7/28 10:10
T203170,KEE,6101590400000C,https://CCTV.KLCG.GOV.TW:443/123f54a1,1,121.78044,25.12853,2,深澳坑路 深溪路,610159C,深溪路,6,S,2023/7/28 10:10
T203300,KEE,6100230300030C,https://CCTV.KLCG.GOV.TW:443/98a31378,1,121.72592,25.14401,2,復興路 中和路,610023C,中和路,6,SE,2023/7/28 10:10
T203520,KEE,6101740700000C,https://cctv.klcg.gov.tw/24c20536,1,121.68477,25.0825,2,堵南路 千祥橋頭,610174C,無名道路1,6,NW,2023/7/28 10:10
T204820,KEE,6101720300020C,https://CCTV.KLCG.GOV.TW:443/46c063f1,1,121.7261,25.163,-1,湖海路 外木山風景區,610172C,湖海路一段,6,SE,2023/7/28 10:10
T205130,KEE,6100250400010C,https://CCTV.KLCG.GOV.TW:443/cbbaa7d5,1,121.7387,25.14605,2,中山一路 中華路,610025C,中華路,6,S,2023/7/28 10:10
